什 -shén; what (character)
么 -me; interrogative p.
什么 -shénme; what (two characters)
我 -wǒ; I/me
名 -míng; name (character)
字 -zì; word/character
名字 -míngzì; name (two characters)
叫 -jiáo; to call
李 -lǐ; plum, personal name
呢 -ne; how about...?
你 -nǐ; you
好 -hǎo; good
你好 -nǐhǎo; hello
王 -wáng; king, personal name
姓 -xìng; last name
张 -zhāng; sheets, personal name
明 -míng; bright, personal name
见 -jiàn; to see/meet (in goodbye)
再 -zài; again/then (in goodbye)
华 -huá; splendid, Chinese, personal name
很 -hěn; very, "is/are"
高 -gāo; high
兴 -xīng; to rise/flourish 
高兴 -gāoxīng; "happy"
识 -shí; to know (character)
认 -rèn; to recognize (character)
认识 -rènshí; to meet (two characters)
也 -yě; also, always comes before adjective

鱼 -yú; fish
面 -miàn; side/aspect/noodles
饭 -fàn; food/meal/rice
吃 -chī; to eat
茶 -chá; tea
喝 -hē; to drink
不 -bù; no/not
水 -shuǐ; water/liquid

学 -xué; to learn
生 -shēng; life/raw
医生 -yīshēng; doctor
学生 -xuéshēng; student
是 -shì; to be/is
他 -tā; him
她 -tā; she
他们 -tāmen; they (male)
她们 -tāmen; they (female)
们 -men; plural p.
吗 -ma; question p.
医 -yī; medical
老 -lǎo; old prefix
师 -shī; teacher/master (character)
老师 -lǎoshī; teacher (two characters)

话 -huà; language/talk
电 -diàn; electric
的 -de; possessive p.
电话 -diànhuà; phone
手 -shǒu; hand
机 -jī; machine
手机 -shǒujī; mobile phone
码 -mǎ; number/code (one character)
多 -duō; many
少 -shǎo; few
号 -hào; number (one character)
号码 -hàomǎ; number (two characters)
多少 -duōshǎo; what/how many?

人 -rén; man/person
中 -zhōng; middle
国 -guó; state
美 -měi; beautiful
哪 -nǎ; which
那 -nà; that
英 -yīng; brave
中国 -Zhōngguó; middle state
英国 -Yīngguó; brave state
美国 -Měiguó; beautiful state
都 -dōu; all/both
大 -dà; big
拿 -ná; to take
加 -jiā; to add
加拿大 -Jiānádà; Canada
对 -duì; correct/opposite
都不 -dōubù; none of them
入 -rù; to enter
在 -zài; in

早 -zǎo; early/morning (1 character)
上 -shàng; above/top/previous
早上 -zǎoshàng; morning (2 characters)
忙 -máng; busy
样 -yàng; manner
天 -tiān; day/heaven
怎 -zěn; how
今 -jīn; today/now (one character)
今天 -jīntiān; this day

零 -líng; zero
一 -yī; one (normal)
幺 -yāo; one (serial)
二 -èr; two
两 -liǎng; two (used with measure word)
三 -sān; three
四 -sì; four
五 -wǔ; five
六 -liù; six
七 -qī; seven
八 -bā; eight
九 -jiǔ; nine
十 -shí; ten
百 -bǎi; hundred
千 -qiān; thousand
万 -wàn; ten thousand
元 -yuán; Yuan

北 -běi; North
家 -jiā; home/family
京 -jīng; capital
南 -nán; South
儿 -er; son
哪儿 -nǎer; where?
港 -gǎng; harbor
香 -xiǎng; fragrant
市 -shì; city/market
台北市 -Táiběi shì; Taipei City
邑 -yì; city/village/capital
首 -shǒu; first/head/measure word for poems

约 -yuē; appointment/to invite
纽 -niǔ; knot/button/knob
湾 -wān; bay/gulf
伦 -lún; human relationship
住 -zhù; lives
敦 -dūn; kindhearted
台 -tái; platform
伦敦 -lúndūn; London
纽约 -niǔyuē; New York
香港 -xiǎnggǎng; Hong Kong
台湾 -táiwān; Taiwan
